time,open,high,low,close,Volume,Volume MA,pctc,mark,time_since_start,time_since_start_seconds,time_since_last_event,time_since_last_event_seconds
2020-11-05 16:30:00+00:00,567.03,567.63,561.57,561.73,25673.0,33435.1,-0.00871759577884823,4,554 days 03:00:00,797940.0,0 days 01:00:00,60.0
2020-11-05 17:30:00+00:00,561.97,564.51,559.86,564.01,15213.0,33520.35,0.004058889502073892,4,554 days 04:00:00,798000.0,0 days 01:00:00,60.0
2020-11-05 18:30:00+00:00,564.31,565.19,562.7,564.67,10425.0,32611.3,0.0011701920178719405,4,554 days 05:00:00,798060.0,0 days 01:00:00,60.0
2020-11-05 19:30:00+00:00,564.69,567.5,563.76,564.87,25796.0,33030.55,0.00035418917243701387,4,554 days 06:00:00,798120.0,0 days 01:00:00,60.0
2020-11-05 20:30:00+00:00,565.3,567.03,562.87,566.77,44828.0,33377.8,0.0033636057854018464,4,554 days 07:00:00,798180.0,0 days 01:00:00,60.0
2020-11-06 14:30:00+00:00,563.82,569.97,556.0,569.62,84261.0,36286.7,0.005028494803888783,4,555 days 01:00:00,799260.0,0 days 18:00:00,1080.0
2020-11-06 15:30:00+00:00,569.25,571.14,566.56,570.31,33334.0,37137.05,0.0012113338717039124,4,555 days 02:00:00,799320.0,0 days 01:00:00,60.0
2020-11-06 16:30:00+00:00,570.94,575.12,570.12,574.0,42677.0,38665.45,0.006470165348670065,4,555 days 03:00:00,799380.0,0 days 01:00:00,60.0
2020-11-06 17:30:00+00:00,574.98,580.34,574.25,580.25,51322.0,40293.3,0.010888501742160273,4,555 days 04:00:00,799440.0,0 days 01:00:00,60.0
2020-11-06 18:30:00+00:00,579.71,582.8,579.25,579.7,43929.0,41355.5,-0.0009478672985780978,4,555 days 05:00:00,799500.0,0 days 01:00:00,60.0
2020-11-06 19:30:00+00:00,579.69,583.0,579.04,581.68,37272.0,40689.65,0.0034155597722957953,4,555 days 06:00:00,799560.0,0 days 01:00:00,60.0
2020-11-06 20:30:00+00:00,581.59,583.54,581.0,582.555,52542.0,39111.2,0.0015042635125841475,4,555 days 07:00:00,799620.0,0 days 01:00:00,60.0
2020-11-09 14:30:00+00:00,582.0,585.65,559.07,585.65,107932.0,42745.4,0.005312803082970774,4,558 days 01:00:00,803580.0,2 days 18:00:00,3960.0
2020-11-09 15:30:00+00:00,586.11,587.56,570.49,578.29,60303.0,44500.95,-0.012567232988986654,3,558 days 02:00:00,803640.0,7 days 00:00:00,10080.0
2020-11-09 16:30:00+00:00,577.95,578.47,570.22,570.66,27335.0,44268.55,-0.013194072178318805,3,558 days 03:00:00,803700.0,0 days 01:00:00,60.0
2020-11-09 17:30:00+00:00,570.93,570.93,562.945,563.18,33164.0,44565.85,-0.013107629762029949,3,558 days 04:00:00,803760.0,0 days 01:00:00,60.0
